"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"108146","TFF1.10",1.98353836738821e-61,4.66633361483674,1,0.177,4.90548873638777e-57,53,"TFF1","Epithelial"
"108407","MUC1.21",1.2351504595712e-35,2.42207276103956,1,0.27,3.05465060156554e-31,53,"MUC1","Epithelial"
"108467","KRT8.30",4.57626274225565e-33,2.32029049708877,1,0.279,1.13175553878725e-28,53,"KRT8","Epithelial"
"108480","KRT18.30",1.21827006667603e-32,2.24004467766707,1,0.291,3.0129037018965e-28,53,"KRT18","Epithelial"
"108384","CLU.11",2.04455226751866e-36,1.86047992925483,0.977,0.226,5.05638221280041e-32,53,"CLU","Epithelial"
"108750","KRT19.34",9.92422940818484e-25,1.58191392917181,1,0.313,2.45436117493819e-20,53,"KRT19","Epithelial"
"109096","LYZ.41",9.62657315677868e-19,1.30751046248924,1,0.495,2.38074780740294e-14,53,"LYZ","Myeloid"
"110055","PDGFA.9",5.7098498993533e-11,0.826507122827705,0.523,0.15,1.41210297860907e-06,53,"PDGFA","Fibroblasts"
"108888","SPINK1.10",8.423194117397e-22,-1.13092849212428,0.909,0.213,2.08314013717345e-17,53,"SPINK1","Epithelial"
"108410","PRSS1.5",2.58111192153384e-35,-3.53523606448991,0.636,0.089,6.38334789314533e-31,53,"PRSS1","Epithelial"
"110954","CXCR4.33",2.17870980602773e-07,-6.80770056583396,0.045,0.437,0.00538816722128718,53,"CXCR4","B"
"107223","PRF1.5",4.42611915659768e-46,2.79158691417984,0.688,0.093,1.09462352861817e-41,52,"PRF1","T_NK"
"107233","NKG7.7",2.00143083352229e-36,2.64890155449226,0.75,0.141,4.94973859438398e-32,52,"NKG7","T_NK"
"107220","CD8A.2",1.44496197964644e-47,2.49792752054598,0.625,0.071,3.57353547186362e-43,52,"CD8A","T_NK"
"107286","CD2.7",2.7180171313075e-25,1.82020168749286,0.812,0.202,6.72192816743658e-21,52,"CD2","T_NK"
"107261","GZMB.6",2.06080005859272e-28,1.68382365637086,0.521,0.079,5.09656462490566e-24,52,"GZMB","T_NK"
"107293","CD3D.5",3.65034765843731e-24,1.55042029309043,0.812,0.193,9.02767479408131e-20,52,"CD3D","T_NK"
